28-09-2023 22:51:44 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:44 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:44 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:44 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--47.html HTTP/1.1" 404 153
28-09-2023 22:51:44 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:44 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:44 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:44 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:44 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--48.html HTTP/1.1" 404 153
28-09-2023 22:51:44 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:44 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:44 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:44 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:44 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--49.html HTTP/1.1" 404 153
28-09-2023 22:51:44 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:44 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:44 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:44 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:44 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--50.html HTTP/1.1" 404 153
28-09-2023 22:51:44 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:44 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:44 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
